FrontComponent,FrontAppearanceTime,MatchedBackComponent,BackDisappearanceTime,SignedCosine,AbsoluteCosine,SignedPearson,AbsolutePearson,Interpretation
1,1e-14,1,1.25892541179419e-07,-0.83301918794025,0.83301918794025,-0.832123540949048,0.832123540949048,partly similar
2,2.51188643150959e-12,2,1.25892541179418e-09,-0.532929067590273,0.532929067590273,-0.528668993218212,0.528668993218212,different q-spectrum
3,3.16227766016842e-09,3,1.25892541179417e-13,-0.597247924939819,0.597247924939819,-0.59855036497196,0.59855036497196,different q-spectrum
