FrontComponent,BackComponent,SignedCosine,AbsoluteCosine,SignedPearson,AbsolutePearson
1,1,-0.83301918794025,0.83301918794025,-0.832123540949048,0.832123540949048
1,2,0.159980137318851,0.159980137318851,0.167453572335271,0.167453572335271
1,3,0.130497907193985,0.130497907193985,0.130509910614188,0.130509910614188
2,1,-0.0992802725159893,0.0992802725159893,-0.0913927395988322,0.0913927395988322
2,2,-0.532929067590273,0.532929067590273,-0.528668993218212,0.528668993218212
2,3,0.595899322237083,0.595899322237083,0.598438139169308,0.598438139169308
3,1,-0.245337790999178,0.245337790999178,-0.241540109933287,0.241540109933287
3,2,-0.41749699313165,0.41749699313165,-0.414573406549039,0.414573406549039
3,3,-0.597247924939819,0.597247924939819,-0.59855036497196,0.59855036497196
