Component,ForwardAppearanceColumn,ForwardAppearanceTime,BackwardDisappearanceStartColumn,BackwardDisappearanceTime,PairedIntervalIsOrdered
1,1,1e-14,72,1.25892541179419e-07,1
2,25,2.51188643150959e-12,52,1.25892541179418e-09,1
3,56,3.16227766016842e-09,12,1.25892541179417e-13,0
