Component,FrontFirstColumn,FrontFirstTime,FrontColumnsUsed,BackFirstStartColumn,BackFirstTime,BackColumnsUsed
1,1,1e-14,1,72,1.25892541179419e-07,10
2,25,2.51188643150959e-12,25,52,1.25892541179418e-09,30
3,56,3.16227766016842e-09,56,12,1.25892541179417e-13,70
4,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN
