Component,FrontFirstColumn,FrontFirstTime,FrontColumnsUsed,BackFirstStartColumn,BackFirstTime,BackColumnsUsed
1,1,1e-14,1,100,3.98107170553497e-08,22
2,13,6.30957344480194e-14,13,81,2.15443469003188e-09,41
3,30,8.57695898590895e-13,30,41,4.64158883361277e-12,81
4,68,2.92864456462524e-10,68,34,1.58489319246111e-12,88
5,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN
