Component,SingularValue,ExplainedVariance,CumulativeVariance,AboveThreshold
36,0.00224326485062026,1.89055647854647e-07,0.999993520552475,0
37,0.00222901119683032,1.86660770038632e-07,0.999993707213245,0
38,0.00220050908743713,1.81917670373552e-07,0.999993889130915,0
39,0.00217778914395839,1.78180515120124e-07,0.99999406731143,0
40,0.00215065622018592,1.73768295843088e-07,0.999994241079726,0
41,0.00214423427676222,1.72732087407018e-07,0.999994413811814,0
42,0.00210594941743766,1.66618961939675e-07,0.999994580430775,0
43,0.00208825656494659,1.63831068530859e-07,0.999994744261844,0
44,0.00207476720892417,1.61721329871188e-07,0.999994905983174,0
45,0.00206945914514221,1.60894895913245e-07,0.99999506687807,0
46,0.00202357363337124,1.53839045654318e-07,0.999995220717115,0
47,0.00200755572748189,1.5141321194996e-07,0.999995372130327,0
48,0.00199494222761788,1.49516526648635e-07,0.999995521646854,0
49,0.00198358144307659,1.47818444005921e-07,0.999995669465298,0
50,0.00193568533012832,1.40766097411691e-07,0.999995810231395,0
51,0.00191466468562234,1.37725388888501e-07,0.999995947956784,0
52,0.00188261534708455,1.33153241212525e-07,0.999996081110026,0
53,0.00186648499945233,1.30881288202056e-07,0.999996211991314,0
54,0.00184161661840901,1.27416890886877e-07,0.999996339408205,0
55,0.0018200737228951,1.24453327350777e-07,0.999996463861532,0
56,0.00180417885289284,1.22289094476513e-07,0.999996586150627,0
57,0.00178561587588118,1.19785604854733e-07,0.999996705936231,0
58,0.00175274067570129,1.15415432629246e-07,0.999996821351664,0
59,0.00172123882053613,1.11304011775871e-07,0.999996932655676,0
60,0.00171581726532414,1.10603945661305e-07,0.999997043259622,0
61,0.00169606220659018,1.08071730766021e-07,0.999997151331352,0
62,0.00166130155537536,1.03687283453503e-07,0.999997255018636,0
63,0.00163417014153555,1.00328217238613e-07,0.999997355346853,0
64,0.00162418431511465,9.91058241310872e-08,0.999997454452677,0
65,0.00158675284485583,9.45904135616919e-08,0.999997549043091,0
66,0.00156852550895504,9.242973865567e-08,0.999997641472829,0
67,0.00154343167862106,8.9495947980287e-08,0.999997730968777,0
68,0.00153245835973539,8.82278951182068e-08,0.999997819196673,0
69,0.00152712974026665,8.76153949344728e-08,0.999997906812067,0
70,0.00149228588829954,8.36628427579627e-08,0.99999799047491,0
71,0.0014843993164014,8.27808810520841e-08,0.999998073255791,0
72,0.00145050868524683,7.9044056547564e-08,0.999998152299848,0
73,0.00143030924978853,7.68578882258308e-08,0.999998229157736,0
