Component,ForwardAppearanceColumn,ForwardAppearanceTime,BackwardDisappearanceStartColumn,BackwardDisappearanceTime,PairedIntervalIsOrdered
1,1,1e-14,101,4.64158883361278e-08,1
2,16,1e-13,89,7.35642254459642e-09,1
3,72,5.41169526546465e-10,37,2.51188643150958e-12,0
