Component,SingularValue,ExplainedVariance,CumulativeVariance,AboveThreshold
50,0.00227804260047631,1.32558231907377e-07,0.999995941165587,0
51,0.00227009488992103,1.31634898291296e-07,0.999996072800486,0
52,0.00223445344312094,1.27533899924106e-07,0.999996200334385,0
53,0.0022059191738801,1.24297447772977e-07,0.999996324631833,0
54,0.00219688767750061,1.23281731604221e-07,0.999996447913565,0
55,0.00215630889213124,1.1876951082002e-07,0.999996566683076,0
56,0.00213065399473438,1.15960179079978e-07,0.999996682643255,0
57,0.00210355801364857,1.13029552393261e-07,0.999996795672807,0
58,0.00209743510786023,1.12372511246797e-07,0.999996908045318,0
59,0.00204252529748874,1.06565814422567e-07,0.999997014611133,0
60,0.00203950800684459,1.06251201389299e-07,0.999997120862334,0
61,0.00200574271406476,1.02762217340824e-07,0.999997223624551,0
62,0.00199531279884797,1.01696263557707e-07,0.999997325320815,0
63,0.00197039582297421,9.91722065865784e-08,0.999997424493022,0
64,0.00194667905934406,9.67991924832642e-08,0.999997521292214,0
65,0.00190726407269203,9.29190318433499e-08,0.999997614211246,0
66,0.00187727731236863,9.00201812843401e-08,0.999997704231427,0
67,0.00186547061831367,8.88914205106283e-08,0.999997793122848,0
68,0.00184105921490947,8.65801899697554e-08,0.999997879703038,0
69,0.00182971192436255,8.55162123236201e-08,0.99999796521925,0
70,0.00179830780999593,8.26059025950437e-08,0.999998047825153,0
71,0.00178665203336639,8.15385484735036e-08,0.999998129363701,0
72,0.00175270112962708,7.84691147609252e-08,0.999998207832816,0
73,0.0017287091628652,7.63355585953373e-08,0.999998284168374,0
74,0.00170691263500039,7.44227316248015e-08,0.999998358591106,0
75,0.00168526335581043,7.25468525575153e-08,0.999998431137958,0
76,0.0016765957301087,7.18025274401476e-08,0.999998502940486,0
77,0.00164137706399749,6.88176346016636e-08,0.999998571758121,0
78,0.00161537385793232,6.66544456186529e-08,0.999998638412566,0
79,0.00158745948474713,6.43707130717426e-08,0.999998702783279,0
80,0.00157001814387884,6.29640076150003e-08,0.999998765747287,0
81,0.00156463442814305,6.25329309108062e-08,0.999998828280218,0
82,0.00151843454664087,5.88945587279439e-08,0.999998887174776,0
83,0.00148029184251857,5.59728875207673e-08,0.999998943147664,0
84,0.00146383373109865,5.47351762437399e-08,0.99999899788284,0
85,0.0014456308046548,5.33823646951935e-08,0.999999051265205,0
86,0.00142791778922236,5.20822128794013e-08,0.999999103347418,0
87,0.0013887832357067,4.92665273089592e-08,0.999999152613945,0
88,0.00138105365007602,4.87196455633249e-08,0.999999201333591,0
89,0.00135437243999519,4.68553553175904e-08,0.999999248188946,0
90,0.00132433670138084,4.48001893669607e-08,0.999999292989135,0
91,0.00131186804966042,4.39605715368641e-08,0.999999336949707,0
92,0.00129032867732586,4.2528857806316e-08,0.999999379478565,0
93,0.00124667212045527,3.96997265006642e-08,0.999999419178291,0
94,0.0012232476993633,3.82218615760321e-08,0.999999457400153,0
95,0.00119672623099335,3.65824376354987e-08,0.99999949398259,0
96,0.00116899353003263,3.49065747368662e-08,0.999999528889165,0
97,0.00115674555977561,3.4178948860365e-08,0.999999563068114,0
98,0.00112703600063059,3.24458082861156e-08,0.999999595513922,0
99,0.00108825745896652,3.02514589983932e-08,0.999999625765381,0
100,0.0010640596250178,2.89211094542429e-08,0.999999654686491,0
101,0.0010325311157904,2.72326131285961e-08,0.999999681919104,0
102,0.00102564849648121,2.68707702410096e-08,0.999999708789874,0
103,0.000996745514323861,2.53776614746045e-08,0.999999734167536,0
104,0.000972929043868641,2.41793908968001e-08,0.999999758346927,0
105,0.000940516672128605,2.25951910126663e-08,0.999999780942118,0
106,0.000921274289446443,2.16800821001689e-08,0.9999998026222,0
107,0.000880632727290258,1.98094611701711e-08,0.999999822431661,0
108,0.000856544171769643,1.87405593325378e-08,0.99999984117222,0
109,0.000840495943119717,1.80448910039953e-08,0.999999859217111,0
110,0.000813113194583473,1.68882650809965e-08,0.999999876105376,0
111,0.000797801047969428,1.6258191137111e-08,0.999999892363567,0
112,0.00079070267416044,1.5970166178464e-08,0.999999908333734,0
113,0.000766393592502531,1.50032985142674e-08,0.999999923337032,0
114,0.000721594415901064,1.33005422637411e-08,0.999999936637574,0
115,0.000691197123169239,1.22035690795714e-08,0.999999948841143,0
116,0.000660482558164559,1.11430922732077e-08,0.999999959984236,0
117,0.000607606205566551,9.43034153100462e-09,0.999999969414577,0
118,0.000578762450981139,8.55625490353849e-09,0.999999977970832,0
119,0.000565614523962564,8.17192036367395e-09,0.999999986142752,0
120,0.000550028258189985,7.72774930480771e-09,0.999999993870502,0
121,0.00048985884536637,6.12949830185977e-09,1,0
